country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value,collection_time
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",05-09-2026 21:00:00,28.2068,76.7997,NH3,4.0,8.0,5.0,2026-09-05 16:37:06
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",05-09-2026 21:00:00,28.39072,77.30059,PM10,46.0,122.0,84.0,2026-09-05 16:37:06
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",05-09-2026 21:00:00,28.39072,77.30059,CO,22.0,26.0,24.0,2026-09-05 16:37:06
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",05-09-2026 21:00:00,28.376058,77.315741,NO2,,,,2026-09-05 16:37:06
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",05-09-2026 21:00:00,28.376058,77.315741,NH3,,,,2026-09-05 16:37:06
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",05-09-2026 21:00:00,28.376058,77.315741,SO2,,,,2026-09-05 16:37:06
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",05-09-2026 21:00:00,28.4417,77.3217,CO,24.0,34.0,26.0,2026-09-05 16:37:06
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",05-09-2026 21:00:00,29.503664,75.467934,PM2.5,,,,2026-09-05 16:37:06
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",05-09-2026 21:00:00,28.4275,77.1465,CO,10.0,28.0,17.0,2026-09-05 16:37:06
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IITM",05-09-2026 21:00:00,28.422681,77.148944,PM2.5,7.0,73.0,37.0,2026-09-05 16:37:06
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IITM",05-09-2026 21:00:00,28.422681,77.148944,NO2,13.0,42.0,24.0,2026-09-05 16:37:06
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IITM",05-09-2026 21:00:00,28.422681,77.148944,SO2,,,,2026-09-05 16:37:06
